Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
3419;18-11-2018;07:09:05;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3420;18-11-2018;07:09:05;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3421;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3422;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3423;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3424;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3425;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3426;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3427;18-11-2018;07:09:06;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3428;18-11-2018;07:09:08;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3429;18-11-2018;07:09:09;20;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3430;18-11-2018;07:09:14;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3431;18-11-2018;07:09:16;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3432;18-11-2018;07:09:16;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3433;18-11-2018;07:09:16;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3434;18-11-2018;07:09:17;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3435;18-11-2018;07:09:18;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3436;18-11-2018;07:10:27;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3437;18-11-2018;07:10:27;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3438;18-11-2018;07:10:28;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3439;18-11-2018;07:10:29;40;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3440;18-11-2018;07:10:30;40;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3441;18-11-2018;07:10:30;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3442;18-11-2018;07:10:31;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3443;18-11-2018;07:10:31;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3444;18-11-2018;07:10:33;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3445;18-11-2018;07:10:34;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3446;18-11-2018;07:10:34;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3447;18-11-2018;07:10:35;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
3448;18-11-2018;07:20:26;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3449;18-11-2018;07:20:26;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3450;18-11-2018;07:20:27;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3451;18-11-2018;07:20:27;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3452;18-11-2018;07:20:27;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3453;18-11-2018;07:20:28;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3454;18-11-2018;07:20:28;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3455;18-11-2018;07:20:28;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3456;18-11-2018;07:20:29;20;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3457;18-11-2018;07:21:44;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3458;18-11-2018;07:21:44;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3459;18-11-2018;07:21:45;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3460;18-11-2018;07:21:45;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3461;18-11-2018;07:21:45;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3462;18-11-2018;07:21:47;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3463;18-11-2018;07:21:47;30;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3464;18-11-2018;07:21:47;30;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3465;18-11-2018;07:21:49;40;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3466;18-11-2018;07:22:38;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3467;18-11-2018;07:22:39;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3468;18-11-2018;07:22:39;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3469;18-11-2018;07:22:40;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3470;18-11-2018;07:22:41;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3471;18-11-2018;07:22:41;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3472;18-11-2018;07:22:42;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3473;18-11-2018;07:22:42;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3474;18-11-2018;07:22:56;10;-;Trovan Unique;0007ACDC1C;-;00000000;00000000;-;""
3475;18-11-2018;07:30:25;10;-;Trovan Unique;0007ACDC1C;-;00000000;00000000;-;""
3476;18-11-2018;07:49:09;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3477;18-11-2018;07:49:10;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3478;18-11-2018;07:49:10;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3479;18-11-2018;07:49:10;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3480;18-11-2018;07:49:10;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3481;18-11-2018;07:49:11;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3482;18-11-2018;07:49:12;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3483;18-11-2018;07:49:12;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3484;18-11-2018;07:49:12;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3485;18-11-2018;07:49:12;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3486;18-11-2018;07:49:12;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3487;18-11-2018;07:49:13;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3488;18-11-2018;07:49:13;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
3489;18-11-2018;07:49:13;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
