Ring_ID,Transponder ,colour rings ,Aviary_out ,Aviary_in,betweenness,closeness,degree,sex ,cohort ,age ,occasion,Nodes
317,000783C25E,SS/MS,1,1,0,0.1666667,4,0,2012,6,1,13
650,0007ACB9B7,X/MP,1,1,0,0.125,2,0,2014,4,1,13
322,0007ACC242,RV/MR,1,4,0,0,0,0,2012,6,1,13
506,0007B0F51D,SR/DM,1,7,0,0,0,0,2013,5,1,13
508,0007B0F2B3,ME/CE,1,7,0,0,0,0,2013,5,1,13
678,000783EF84,RR/MR,1,10,0,0.166667,4,1,2018,0,1,13
334,0007AFE135,EE/ME,1,13,0,0,0,0,2012,6,1,13
605,0007AC2770,LW/MC,1,13,0,0,0,0,2014,4,1,13
629,0007AC80C0,ER/MB,1,13,0,0,0,0,2014,4,1,13
654,0007B017A6,WP/PM,1,13,0,0,0,0,2014,4,1,13
728,000783E51D,LP/MP,1,16,0,0,0,0,2014,4,1,13
707,0007B0C904,CM/NN,1,16,0,0,0,0,2014,4,1,13
645,0007AC5F96,YH/MY,1,19,1.5,0.2,5,0,2014,4,1,13
712,0007B0493E,OO/MO,4,1,0.25,0.2,5,1,2014,4,1,13
346,000783C04D,RR/RM,4,1,0.25,0.2,5,0,2012,6,1,13
528,0007ACD192,BB/M,4,1,0.25,0.2,5,0,2013,5,1,13
682,00078394D9,ME/PL,4,1,0,0.166667,4,0,2014,4,1,13
389,0007ACD92B,BM/BB,4,4,0,0,0,1,2013,5,1,13
396,0007ACD040,YM/YY,4,4,0,0,0,1,2013,5,1,13
656,0007ACDAC3,VV/MV,4,4,0,0,0,0,2014,4,1,13
573,0007ACDC1C,MY/YY,4,10,0,0,0,0,2014,4,1,13
659,0007ABD4C1,WW/WM,4,13,0,0,0,1,2014,4,1,13
583,0007AC8F78,OO/MO,4,16,0,0,0,0,2014,4,1,13
683,0007ABB45D,BB/DM,4,16,0,0,0,0,2014,4,1,13
253,00079D5182,VV/MV,4,19,0,0.16667,4,1,2010,8,1,13
719,000783A448,EE/ME,4,19,0.25,0.2,5,0,2014,4,1,13
609,00079D4DD3,BB/MB,7,1,2,0.333333,3,1,2014,4,1,9
250,000783A8B7,NN/MN,7,1,0,0.25,2,1,2010,8,1,9
263,0007B0C62E,PP/MP,7,4,0,0,0,0,2010,8,1,9
502,0007B019EF,RR/MR,7,4,0,0,0,0,2013,5,1,9
507,0007AFE2EB,DD/MD,7,7,0,0,0,1,2013,5,1,9
537,0007AC3886,BB/MB,7,7,0,0,0,0,2013,5,1,9
575,0007839C52,EE/ME,7,10,0,0,0,1,2013,5,1,9
666,0007ACC304,RR/MR,7,16,0,0,0,1,2017,1,1,9
332,0007AC60AD,CC/CM,7,19,0,0.2,1,1,2012,6,1,9
718,0007ACD286,HH/MH,10,1,0,0.25,2,1,2014,4,1,15
284,0007AC9993,DD/MD,10,4,0,0,0,1,2010,8,1,15
524,0007ACBDD4,MX/XX,10,7,0,0,0,0,2013,5,1,15
278,0007ACD237,NN/MN,10,10,0.5,0.333333,3,1,2010,8,1,15
254,00078397BE,VV/MV,10,10,0,0,0,1,2010,8,1,15
293,0007ABAE1D,VV/VM,10,10,0,0,0,0,2010,8,1,15
331,0007ACC7F7,NN/MN,10,10,0,0,0,0,2012,6,1,15
589,0007ACE29F,MW/WW,10,10,0,0,0,0,2013,5,1,15
549,000783BFB7,MC/CC,10,13,0,0,0,1,2013,5,1,15
642,000783B4F3,PP/MP,10,13,0,0,0,1,2014,4,1,15
255,0007B04908,WW/MW,10,13,0,0,0,1,2010,8,1,15
394,0007B0C693,CC/MC,10,13,0,0,0,0,2013,5,1,15
658,0007AFDEF7,OO/MO,10,13,0,0,0,0,2014,4,1,15
730,0007AC3EDE,XX/MX,10,19,0.5,0.333333,3,1,2014,4,1,15
594,0007B01CE3,DD/MD,10,19,0,0.25,2,0,2013,5,1,15
617,000783C8E4,DD/MD,13,1,0,0.142857,1,1,2014,4,1,11
258,0007B0C85F,RR/MR,13,4,0,0,0,1,2010,8,1,11
298,0007ABAEC7,NN/MN,13,4,0,0,0,1,2010,8,1,11
490,00079D5009,HH/MH,13,4,0,0,0,0,2007,11,1,11
517,0007AC2B31,ME/EE,13,7,0,0,0,0,2013,5,1,11
347,0007ACC752,OO/OM,13,10,0,0.2,3,0,2012,6,1,11
519,000783E0B3,VM/VV,13,13,0,0,0,1,2013,5,1,11
665,0007AC512E,WW/MW,13,16,0,0,0,1,2014,4,1,11
699,0007B046BA,EE/ME,13,16,0,0,0,1,2014,4,1,11
691,0007B045D8,XX/MX,13,16,0,0,0,0,2014,4,1,11
714,7839667,CC/MC,13,19,0,0.2,3,0,2014,4,1,11
694,0007B0F2C5,CC/CM,16,1,2.783333,0.125,8,1,2014,4,1,18
320,0007B04C31,BB/MB,16,1,0.7,0.1,6,0,2012,6,1,18
625,0007838EE2,HH/MH,16,1,1,0.090909,5,0,2014,4,1,18
393,0007AC4FB1,MS/SS,16,4,0,0,0,1,2013,5,1,18
384,00079D5186,CM/CC,16,4,0,0,0,0,2013,5,1,18
398,000783C204,EM/EE,16,4,0,0,0,0,2013,5,1,18
647,0007AFE48F,XX/XM,16,4,0,0,0,0,2014,4,1,18
616,0007AC8F5B,RR/RM,16,7,0,0,0,1,2014,4,1,18
532,0007ACC57C,OO/MO,16,7,0,0,0,0,2013,5,1,18
556,0007B0ED87,MS/SS,16,7,0,0,0,0,2013,5,1,18
541,0007AC6326,MH/HH,16,10,0.833333,0.090909,5,1,2014,4,1,18
599,000783B3B0,PP/MP,16,10,1.45,0.111111,7,0,2013,5,1,18
596,0007AFE407,MD/DD,16,10,0,0,0,0,2013,5,1,18
723,000783C77F,CC/CM,16,16,0,0,0,0,2014,4,1,18
548,0007AC2039,WW/WM,16,19,1.45,0.111111,7,1,2013,5,1,18
581,0007ABB698,MD/DD,16,19,0.25,0.090909,5,1,2013,5,1,18
623,0007AB9DDE,EE/EM,16,19,0.7,0.083333,4,1,2014,4,1,18
698,0007B01AEF,LL/ML,16,19,0,0.333333,1,1,2014,4,1,18
655,0007AC92A2,XX/MX,19,1,0,0.333333,1,1,2014,4,1,12
513,0007ACD2C0,VM/VV,19,7,0,0,0,1,2013,5,1,12
