Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
41;14-02-2019;08:37:50;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
42;14-02-2019;08:37:51;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
43;14-02-2019;08:44:55;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
44;14-02-2019;08:44:57;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
45;14-02-2019;08:45:08;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
46;14-02-2019;08:45:10;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
47;14-02-2019;08:45:11;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
48;14-02-2019;08:45:11;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
49;14-02-2019;08:45:12;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
50;14-02-2019;08:45:13;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
51;14-02-2019;08:45:14;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
52;14-02-2019;08:45:14;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
53;14-02-2019;08:45:15;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
54;14-02-2019;08:45:28;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
55;14-02-2019;08:45:29;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
56;14-02-2019;08:45:29;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
57;14-02-2019;08:45:30;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
58;14-02-2019;08:45:31;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
59;14-02-2019;08:45:32;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
60;14-02-2019;08:46:24;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
61;14-02-2019;08:46:24;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
62;14-02-2019;08:46:25;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
63;14-02-2019;08:46:39;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
64;14-02-2019;08:46:58;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
65;14-02-2019;08:46:59;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
66;14-02-2019;08:46:59;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
67;14-02-2019;08:47:06;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
68;14-02-2019;08:47:06;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
69;14-02-2019;08:47:07;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
70;14-02-2019;08:47:07;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
71;14-02-2019;08:47:08;20;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
72;14-02-2019;08:47:08;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
73;14-02-2019;08:47:08;10;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
74;14-02-2019;09:35:02;40;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
75;14-02-2019;09:35:03;40;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
76;14-02-2019;09:35:42;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
77;14-02-2019;09:35:43;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
78;14-02-2019;09:35:43;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
79;14-02-2019;09:35:44;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
80;14-02-2019;09:35:45;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
81;14-02-2019;13:11:47;40;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
82;14-02-2019;13:20:52;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
83;14-02-2019;14:13:47;40;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
84;14-02-2019;14:13:47;40;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
85;14-02-2019;14:13:48;40;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
86;14-02-2019;14:13:49;40;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
87;14-02-2019;14:13:50;30;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
88;14-02-2019;14:13:51;30;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
89;14-02-2019;14:14:04;30;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
90;14-02-2019;14:14:04;30;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
91;14-02-2019;14:14:05;40;-;Trovan Unique;0007839667;-;00000000;00000000;-;""
92;14-02-2019;14:19:40;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
93;14-02-2019;14:19:41;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
94;14-02-2019;14:19:42;40;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
95;14-02-2019;14:19:43;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
96;14-02-2019;14:19:44;30;-;Trovan Unique;0007ACE488;-;00000000;00000000;-;""
97;14-02-2019;14:21:06;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
98;14-02-2019;14:21:06;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
99;14-02-2019;14:21:07;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
100;14-02-2019;14:21:07;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
101;14-02-2019;14:21:07;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
102;14-02-2019;14:21:08;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
103;14-02-2019;14:21:08;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
104;14-02-2019;14:21:08;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
105;14-02-2019;14:21:08;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
106;14-02-2019;14:21:09;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
107;14-02-2019;14:21:09;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
108;14-02-2019;14:21:09;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
109;14-02-2019;14:21:09;10;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
